"participant","FA","HIT","Miss","presInEnc","listN","HITrate","FArate","dprime","hitMinFA"
"01",23,54,66,120,2,0.45,0.383333333333333,0.16711424839588,0.0666666666666667
"02",2,89,31,120,3,0.741666666666667,0.0333333333333333,2.38171074085531,0.708333333333333
"03",31,74,46,120,4,0.616666666666667,0.516666666666667,0.253109300735809,0.1
"04",12,81,39,120,1,0.675,0.2,1.27392959166485,0.475
"05",26,97,23,120,2,0.808333333333333,0.433333333333333,1.02758479465173,0.375
"06",14,76,44,120,3,0.633333333333333,0.233333333333333,1.05147375056799,0.4
"07",4,30,90,120,4,0.25,0.0666666666666667,0.780269909238177,0.183333333333333
"08",2,107,13,120,1,0.891666666666667,0.0333333333333333,2.95760385556828,0.858333333333333
"09",11,28,92,120,2,0.233333333333333,0.183333333333333,0.162614262614907,0.05
"11",34,83,37,120,4,0.691666666666667,0.566666666666667,0.330968338376323,0.125
"12",8,26,94,35,1,0.216666666666667,0.133333333333333,0.307723205167294,0.0833333333333333
"13",11,45,75,35,2,0.375,0.183333333333333,0.56743012797626,0.191666666666667
"14",11,70,50,120,3,0.583333333333333,0.183333333333333,1.09201007325985,0.4
"15",16,82,38,120,4,0.683333333333333,0.266666666666667,1.08411538550932,0.416666666666667
"16",5,50,70,120,1,0.416666666666667,0.0833333333333333,1.13108246363994,0.333333333333333
"17",21,56,64,120,2,0.466666666666667,0.35,0.295731261261283,0.116666666666667
"18",31,85,35,120,3,0.708333333333333,0.516666666666667,0.502408846720654,0.191666666666667
"19",8,50,29,79,4,0.632911392405063,0.222222222222222,1.07490304472192,0.410689170182841
"20",20,83,37,120,1,0.691666666666667,0.333333333333333,0.919309565060026,0.358333333333333
"21",8,34,86,35,2,0.283333333333333,0.133333333333333,0.515583772362212,0.15
"22",12,91,29,120,3,0.758333333333333,0.2,1.51830797672249,0.558333333333333
"23",12,51,69,120,4,0.425,0.2,0.63664522154832,0.225
"24",9,39,81,120,1,0.325,0.15,0.562383587704485,0.175
"25",9,85,35,120,2,0.708333333333333,0.15,1.55564371028872,0.558333333333333
"26",15,65,55,120,3,0.541666666666667,0.25,0.7654137744258,0.291666666666667
"28",12,80,40,120,1,0.666666666666667,0.2,1.25112427160271,0.466666666666667
"29",12,76,44,120,2,0.633333333333333,0.2,1.1619512636541,0.433333333333333
"30",8,77,43,120,3,0.641666666666667,0.133333333333333,1.44305470470256,0.508333333333333
"31",13,85,35,120,4,0.708333333333333,0.216666666666667,1.31128418224919,0.491666666666667
"32",18,60,60,120,1,0.5,0.3,0.514993764889511,0.2
